ballDist,ballDir,targetAngle,velX,velY,velTheta,accX,accY,accTheta
1.34884,0.068977,-1.55603,-0.005,0,0,0.015,0,0.0137954
1.33649,0.0694254,-1.56256,-0.005,0,0,0.015,0,0.0138851
1.29176,0.0908645,-1.59637,0.01,0,0.0138851,0.03,0,0.0181729
1.30011,0.0523228,-1.62205,0.025,0,0.0181729,0.0399453,0,0.0104646
1.15431,0.066725,-1.65281,0.0349453,0,0.0104646,0.039911,0,0.013345
1.01317,0.0270376,-1.68633,0.034911,0,0.013345,0.0399854,0,0.00540752
0.834214,0.0252348,-1.75134,0.0349854,0,0.00540752,0.0399873,0,0.00504696
0.599631,0.0094539,-1.71619,0.0349873,0,0.00504696,0.0149873,0.01,0.00283617
0.505403,0.0256849,-1.80553,0.00998727,0.01,0.00283617,0.000540258,0.02,0.00770548
0.463931,0.0163365,-1.67741,-0.00445974,0.02,0.00770548,-0.00360686,0.02,0.00490096
0.50777,-0.210101,-1.74546,-0.00860686,0.02,0.00490096,0.000777004,0.02,-0.0630303
0.517306,-0.17286,-1.62815,-0.004223,0.02,-0.0630303,0.00173059,0.02,-0.0518581
0.570982,-0.304651,-1.64655,-0.00326941,0.02,-0.0518581,0.00709821,0.02,-0.0913952
0.554334,-0.256007,-1.4909,0.00209821,0.02,-0.0913952,0.00543338,0.02,-0.0768022
0.579656,-0.348625,-1.47996,0.00043338,0.02,-0.0768022,0.00796557,0.02,-0.104588
0.563102,-0.276907,-1.30927,0.00296557,0.02,-0.104588,0.00631025,0.02,-0.0830721
0.581359,-0.243576,-1.20725,0.00131025,0.02,-0.0830721,0.00813585,0.02,-0.0730728
0.589241,-0.197524,-1.06088,0.00313585,0.02,-0.0730728,0.00892413,0.02,-0.0592573
0.583324,-0.262583,-1.00308,0.00392413,0.02,-0.0592573,0.00833242,0.02,-0.0787748
0.570015,-0.278158,-0.89808,0.00333242,0.02,-0.0787748,0.00700149,0.02,-0.0834474
0.560346,-0.252868,-0.783073,0.00200149,0.02,-0.0834474,0.00603455,0.02,-0.0758603
0.548914,-0.27575,-0.681885,0.00103455,0.02,-0.0758603,0.00489142,0.02,-0.0827249
0.558412,-0.265722,-0.57528,-0.000108585,0.02,-0.0827249,0.00584116,0.02,-0.0797166
0.561815,-0.204696,-0.406158,0.000841165,0.02,-0.0797166,0.00618155,0.02,-0.0614089
0.555834,-0.22813,-0.369515,0.00118155,0.02,-0.0614089,0.00558338,0.02,-0.068439
0.582606,-0.251033,-0.271506,0.000583378,0.02,-0.068439,0.00826064,0.02,-0.07531
0.589827,-0.266352,-0.206675,0.00326064,0.02,-0.07531,0.0089827,0.02,-0.0799055
0.561427,-0.246804,-0.0773238,0.0039827,0.02,-0.0799055,0.00614272,0.0154648,-0.0740411
0.553452,-0.295521,-0.00976466,0.00114272,0.0154648,-0.0740411,0.00534523,0.00546476,-0.0886564
0.582912,-0.239865,0.0890882,0.000345227,0.00546476,-0.0886564,0.00829123,-0.00453524,-0.0719596
0.538591,-0.117851,0.203556,0.00329123,-0.00453524,-0.0719596,0.0232912,-0.00379961,0.0203556
0.537835,-0.167028,0.158633,0.0182912,-0.00379961,0.0203556,0.031035,-0.00536498,0
0.408504,-0.217851,0.128867,0.026035,-0.00536498,0,0.0178849,-0.00529746,0
0.310038,-0.222157,0.143274,0.0128849,-0.00529746,0,0.00824187,-0.00409872,0
0.292048,-0.248973,0.105067,0.00324187,-0.00409872,0,0.00630428,-0.00431779,0
0.271723,-0.269819,0.0639008,0.00130428,-0.00431779,0,0.00418915,-0.00434578,0
0.237326,-0.206886,0.0898873,-0.000810846,-0.00434578,0,0.00122651,-0.00292499,0
0.253248,-0.172653,0.0870058,-0.00377349,-0.00292499,0,0.00294829,-0.00261043,0
0.259278,-0.18514,0.0377197,-0.00205171,-0.00261043,0,0.00348472,-0.00286375,0
0.243609,-0.194102,0.0447943,-0.00151528,-0.00286375,0,0.00190345,-0.00281931,0
0.236661,-0.125862,0.0529702,-0.00309655,-0.00281931,0,0.00147894,-0.00178248,0
0.242434,-0.0983983,0.0134422,-0.00352106,-0.00178248,0,0.00212609,-0.00142899,0
0.24645,-0.151705,-0.0160272,-0.00287391,-0.00142899,0,0.00236194,-0.00223467,0
0.247989,-0.148559,-0.0235919,-0.00263806,-0.00223467,0,0.00252576,-0.00220234,0
